Neighborhood,Attending College,Not Attend College,College Graduates
Brittany Hills,16%,69%,15%
Clintonville,18%,13%,69%
Marion Franklin,13%,76%,11%
German Village,8%,16%,76%
Downtown Columbus,21%,13%,66%
Italian Village,24%,10%,66%
Livingstion Park North,13%,63%,24%
Milo-Grogan,14%,76%,10%
North Linden,18%,65%,17%
South Linden,16%,72%,12%
Victorian Village,12%,5%,83%
Easton,10%,36%,54%
Short North,13%,17%,70%
Polaris North,10%,25%,65%
Polaris South,8%,19%,73%
Blendon Woods,13%,29%,58%
Olde Town East,19%,65%,16%
Merion Village,15%,38%,47%
Weinland Park,21%,42%,37%
Old North Columbus,19%,17%,64%